path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_05_conversation_mode/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_de.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_en.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_es.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_it.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_th.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_06_general_intent_classification/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_de.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_en.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_es.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_it.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_th.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_07_search_triggering/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_de.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_en.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_es.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_it.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_th.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_08_yaml/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_de.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_en.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_es.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_it.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_th.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_08_search_integration/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_de.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_en.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_es.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_fr.yaml,0.3,0.3,0.35
